model_name,domain,ndcg@5,ndcg@10,recall@1,recall@5,recall@10,num_eval_queries,num_queries,num_corpus_scored,path
c_full_1k_best,physics,0.10332683873362149,0.11724607781484454,0.02771311310974207,0.08878300680750627,0.13548067864243324,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_best/physics.json
c_full_1k_final,computer_science,0.16975879736429644,0.18774915347585555,0.062121151888593865,0.16304798345496013,0.22278075499005737,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/computer_science.json
c_full_1k_final,energy,0.11591766679583229,0.1324330605334017,0.04889896587702524,0.13183645663157795,0.17924247547625272,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/energy.json
c_full_1k_final,finance_en,0.10987909181456527,0.12627462784394733,0.045224893712975736,0.11238031282798935,0.15944470180650996,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/finance_en.json
c_full_1k_final,finance_fr,0.06071359607560921,0.07348101586909227,0.023707803039144968,0.06750422971565853,0.10178755210430318,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/finance_fr.json
c_full_1k_final,hr,0.09318019360375673,0.10345456911033712,0.035887433907299766,0.09173616945107387,0.1274595489687061,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/hr.json
c_full_1k_final,industrial,0.07838883000316463,0.08578413815513486,0.03679760561386008,0.07864347016894842,0.10300630926551592,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/industrial.json
c_full_1k_final,pharmaceuticals,0.13755117255100197,0.14637917113744528,0.06299728707030879,0.13781162810705677,0.1727533248048543,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/pharmaceuticals.json
c_full_1k_final,physics,0.1035988144026499,0.1181862278803379,0.027611220848693455,0.08814542748858686,0.13698028022751568,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_full_1k_final/physics.json
c_hn_1k_best,computer_science,0.18705953316365684,0.20577980093705606,0.07257616414593167,0.18059559518861829,0.24408861594908096,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/computer_science.json
c_hn_1k_best,energy,0.1344082509937242,0.15286827629019037,0.05834021906827843,0.15186060670127924,0.2095913241703544,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/energy.json
c_hn_1k_best,finance_en,0.12575373464785058,0.14276755048617054,0.05617973804160649,0.1266435022053991,0.1756631895795981,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/finance_en.json
c_hn_1k_best,finance_fr,0.0733729341647034,0.08807197361195791,0.02594895768748872,0.08134735113497234,0.12132805650908442,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/finance_fr.json
c_hn_1k_best,hr,0.0904386213572383,0.10212794823161234,0.03745914034859555,0.08661466521223904,0.12543219525762755,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/hr.json
c_hn_1k_best,industrial,0.06783580536322452,0.07196420625459808,0.03357369601032226,0.06648923122295962,0.08293870210616999,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/industrial.json
c_hn_1k_best,pharmaceuticals,0.13734801969722074,0.14929275916148074,0.06570288955067698,0.13873110660612475,0.1798803962189621,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/pharmaceuticals.json
c_hn_1k_best,physics,0.11943533533273953,0.13374107789860804,0.03548122903696566,0.1061092270714264,0.15585679317447107,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_best/physics.json
c_hn_1k_final,computer_science,0.18739142474891488,0.20597277008907697,0.07191171231868915,0.18173777557498477,0.24402401646587685,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_hn_1k_final/computer_science.json
